logger: Circle 48 started on Raspberry Pi 400 4GB (AArch64)
logger: Revision code is c03130, compiler has been GCC 11.3.1
interruptgic: write32 [ff841100] = 40000000
interruptgic: read32 [ff84200c] = 1e
00:00:00.01 interruptgic: write32 [ff842010] = 1e
00:00:00.01 interruptgic: read32 [ff84200c] = 1e
00:00:00.02 interruptgic: write32 [ff842010] = 1e
00:00:00.02 interruptgic: read32 [ff84200c] = 1e
00:00:00.03 interruptgic: write32 [ff842010] = 1e
00:00:00.03 interruptgic: read32 [ff84200c] = 1e
00:00:00.04 interruptgic: write32 [ff842010] = 1e
00:00:00.04 interruptgic: read32 [ff84200c] = 1e
00:00:00.05 interruptgic: write32 [ff842010] = 1e
00:00:00.05 interruptgic: read32 [ff84200c] = 1e
00:00:00.06 interruptgic: write32 [ff842010] = 1e
00:00:00.06 interruptgic: read32 [ff84200c] = 1e
00:00:00.07 interruptgic: write32 [ff842010] = 1e
00:00:00.07 interruptgic: read32 [ff84200c] = 1e
00:00:00.08 interruptgic: write32 [ff842010] = 1e
00:00:00.08 interruptgic: read32 [ff84200c] = 1e
00:00:00.09 interruptgic: write32 [ff842010] = 1e
00:00:00.09 interruptgic: read32 [ff84200c] = 1e
00:00:00.10 interruptgic: write32 [ff842010] = 1e
00:00:00.10 interruptgic: read32 [ff84200c] = 1e
00:00:00.11 interruptgic: write32 [ff842010] = 1e
00:00:00.11 interruptgic: read32 [ff84200c] = 1e
00:00:00.12 interruptgic: write32 [ff842010] = 1e
00:00:00.12 interruptgic: read32 [ff84200c] = 1e
00:00:00.13 interruptgic: write32 [ff842010] = 1e
00:00:00.13 interruptgic: read32 [ff84200c] = 1e
00:00:00.14 interruptgic: write32 [ff842010] = 1e
00:00:00.14 interruptgic: read32 [ff84200c] = 1e
00:00:00.15 interruptgic: write32 [ff842010] = 1e
00:00:00.15 interruptgic: read32 [ff84200c] = 1e
00:00:00.16 interruptgic: write32 [ff842010] = 1e
00:00:00.16 interruptgic: read32 [ff84200c] = 1e
00:00:00.17 interruptgic: write32 [ff842010] = 1e
00:00:00.17 interruptgic: read32 [ff84200c] = 1e
00:00:00.18 interruptgic: write32 [ff842010] = 1e
00:00:00.18 interruptgic: read32 [ff84200c] = 1e
00:00:00.19 interruptgic: write32 [ff842010] = 1e
00:00:00.19 interruptgic: read32 [ff84200c] = 1e
00:00:00.20 interruptgic: write32 [ff842010] = 1e
00:00:00.20 interruptgic: read32 [ff84200c] = 1e
00:00:00.21 interruptgic: write32 [ff842010] = 1e
00:00:00.21 interruptgic: read32 [ff84200c] = 1e
00:00:00.22 interruptgic: write32 [ff842010] = 1e
00:00:00.22 interruptgic: read32 [ff84200c] = 1e
00:00:00.23 interruptgic: write32 [ff842010] = 1e
00:00:00.23 interruptgic: read32 [ff84200c] = 1e
00:00:00.24 interruptgic: write32 [ff842010] = 1e
00:00:00.24 interruptgic: read32 [ff84200c] = 1e
00:00:00.25 interruptgic: write32 [ff842010] = 1e
00:00:00.25 interruptgic: read32 [ff84200c] = 1e
00:00:00.26 interruptgic: write32 [ff842010] = 1e
00:00:00.26 interruptgic: read32 [ff84200c] = 1e
00:00:00.27 interruptgic: write32 [ff842010] = 1e
00:00:00.27 interruptgic: read32 [ff84200c] = 1e
00:00:00.28 interruptgic: write32 [ff842010] = 1e
00:00:00.28 interruptgic: read32 [ff84200c] = 1e
00:00:00.29 interruptgic: write32 [ff842010] = 1e
00:00:00.29 interruptgic: read32 [ff84200c] = 1e
00:00:00.30 interruptgic: write32 [ff842010] = 1e
00:00:00.30 interruptgic: read32 [ff84200c] = 1e
00:00:00.31 interruptgic: write32 [ff842010] = 1e
00:00:00.31 interruptgic: read32 [ff84200c] = 1e
00:00:00.32 interruptgic: write32 [ff842010] = 1e
00:00:00.32 interruptgic: read32 [ff84200c] = 1e
00:00:00.33 interruptgic: write32 [ff842010] = 1e
00:00:00.33 interruptgic: read32 [ff84200c] = 1e
00:00:00.34 interruptgic: write32 [ff842010] = 1e
00:00:00.34 interruptgic: read32 [ff84200c] = 1e
00:00:00.35 interruptgic: write32 [ff842010] = 1e
00:00:00.35 interruptgic: read32 [ff84200c] = 1e
00:00:00.36 interruptgic: write32 [ff842010] = 1e
00:00:00.36 interruptgic: read32 [ff84200c] = 1e
00:00:00.37 interruptgic: write32 [ff842010] = 1e
00:00:00.37 interruptgic: read32 [ff84200c] = 1e
00:00:00.38 interruptgic: write32 [ff842010] = 1e
00:00:00.38 interruptgic: read32 [ff84200c] = 1e
00:00:00.39 interruptgic: write32 [ff842010] = 1e
00:00:00.39 interruptgic: read32 [ff84200c] = 1e
00:00:00.40 interruptgic: write32 [ff842010] = 1e
00:00:00.40 interruptgic: read32 [ff84200c] = 1e
00:00:00.41 interruptgic: write32 [ff842010] = 1e
00:00:00.41 interruptgic: read32 [ff84200c] = 1e
00:00:00.42 interruptgic: write32 [ff842010] = 1e
00:00:00.42 interruptgic: read32 [ff84200c] = 1e
00:00:00.43 interruptgic: write32 [ff842010] = 1e
00:00:00.43 interruptgic: read32 [ff84200c] = 1e
00:00:00.44 interruptgic: write32 [ff842010] = 1e
00:00:00.44 interruptgic: read32 [ff84200c] = 1e
00:00:00.45 interruptgic: write32 [ff842010] = 1e
00:00:00.45 interruptgic: read32 [ff84200c] = 1e
00:00:00.46 interruptgic: write32 [ff842010] = 1e
00:00:00.46 interruptgic: read32 [ff84200c] = 1e
00:00:00.47 interruptgic: write32 [ff842010] = 1e
00:00:00.47 interruptgic: read32 [ff84200c] = 1e
00:00:00.48 interruptgic: write32 [ff842010] = 1e
00:00:00.48 interruptgic: read32 [ff84200c] = 1e
00:00:00.49 interruptgic: write32 [ff842010] = 1e
00:00:00.49 interruptgic: read32 [ff84200c] = 1e
00:00:00.50 interruptgic: write32 [ff842010] = 1e
00:00:00.50 interruptgic: read32 [ff84200c] = 1e
00:00:00.51 interruptgic: write32 [ff842010] = 1e
00:00:00.51 interruptgic: read32 [ff84200c] = 1e
00:00:00.52 interruptgic: write32 [ff842010] = 1e
00:00:00.52 interruptgic: read32 [ff84200c] = 1e
00:00:00.53 interruptgic: write32 [ff842010] = 1e
00:00:00.53 interruptgic: read32 [ff84200c] = 1e
00:00:00.54 interruptgic: write32 [ff842010] = 1e
00:00:00.54 interruptgic: read32 [ff84200c] = 1e
00:00:00.55 interruptgic: write32 [ff842010] = 1e
00:00:00.55 interruptgic: read32 [ff84200c] = 1e
00:00:00.56 interruptgic: write32 [ff842010] = 1e
00:00:00.56 interruptgic: read32 [ff84200c] = 1e
00:00:00.57 interruptgic: write32 [ff842010] = 1e
00:00:00.57 interruptgic: read32 [ff84200c] = 1e
00:00:00.58 interruptgic: write32 [ff842010] = 1e
00:00:00.58 interruptgic: read32 [ff84200c] = 1e
00:00:00.59 interruptgic: write32 [ff842010] = 1e
00:00:00.59 interruptgic: read32 [ff84200c] = 1e
00:00:00.60 interruptgic: write32 [ff842010] = 1e
00:00:00.60 interruptgic: read32 [ff84200c] = 1e
00:00:00.61 interruptgic: write32 [ff842010] = 1e
00:00:00.61 interruptgic: read32 [ff84200c] = 1e
00:00:00.62 interruptgic: write32 [ff842010] = 1e
00:00:00.62 interruptgic: read32 [ff84200c] = 1e
00:00:00.63 interruptgic: write32 [ff842010] = 1e
00:00:00.63 interruptgic: read32 [ff84200c] = 1e
00:00:00.64 interruptgic: write32 [ff842010] = 1e
00:00:00.64 interruptgic: read32 [ff84200c] = 1e
00:00:00.65 interruptgic: write32 [ff842010] = 1e
00:00:00.65 interruptgic: read32 [ff84200c] = 1e
00:00:00.66 interruptgic: write32 [ff842010] = 1e
00:00:00.66 interruptgic: read32 [ff84200c] = 1e
00:00:00.67 interruptgic: write32 [ff842010] = 1e
00:00:00.67 interruptgic: read32 [ff84200c] = 1e
00:00:00.68 interruptgic: write32 [ff842010] = 1e
00:00:00.68 interruptgic: read32 [ff84200c] = 1e
00:00:00.69 interruptgic: write32 [ff842010] = 1e
00:00:00.69 interruptgic: read32 [ff84200c] = 1e
00:00:00.70 interruptgic: write32 [ff842010] = 1e
00:00:00.70 interruptgic: read32 [ff84200c] = 1e
00:00:00.71 interruptgic: write32 [ff842010] = 1e
00:00:00.71 interruptgic: read32 [ff84200c] = 1e
00:00:00.72 interruptgic: write32 [ff842010] = 1e
00:00:00.72 interruptgic: read32 [ff84200c] = 1e
00:00:00.73 interruptgic: write32 [ff842010] = 1e
00:00:00.73 interruptgic: read32 [ff84200c] = 1e
00:00:00.74 interruptgic: write32 [ff842010] = 1e
00:00:00.74 interruptgic: read32 [ff84200c] = 1e
00:00:00.75 interruptgic: write32 [ff842010] = 1e
00:00:00.75 interruptgic: read32 [ff84200c] = 1e
00:00:00.76 interruptgic: write32 [ff842010] = 1e
00:00:00.76 interruptgic: read32 [ff84200c] = 1e
00:00:00.77 interruptgic: write32 [ff842010] = 1e
00:00:00.77 interruptgic: read32 [ff84200c] = 1e
00:00:00.78 interruptgic: write32 [ff842010] = 1e
00:00:00.78 interruptgic: read32 [ff84200c] = 1e
00:00:00.79 interruptgic: write32 [ff842010] = 1e
00:00:00.79 interruptgic: read32 [ff84200c] = 1e
00:00:00.80 interruptgic: write32 [ff842010] = 1e
00:00:00.80 interruptgic: read32 [ff84200c] = 1e
00:00:00.81 interruptgic: write32 [ff842010] = 1e
00:00:00.81 interruptgic: read32 [ff84200c] = 1e
00:00:00.82 interruptgic: write32 [ff842010] = 1e
00:00:00.82 interruptgic: read32 [ff84200c] = 1e
00:00:00.83 interruptgic: write32 [ff842010] = 1e
00:00:00.83 interruptgic: read32 [ff84200c] = 1e
00:00:00.84 interruptgic: write32 [ff842010] = 1e
00:00:00.84 interruptgic: read32 [ff84200c] = 1e
00:00:00.85 interruptgic: write32 [ff842010] = 1e
00:00:00.85 interruptgic: read32 [ff84200c] = 1e
00:00:00.86 interruptgic: write32 [ff842010] = 1e
00:00:00.86 interruptgic: read32 [ff84200c] = 1e
00:00:00.87 interruptgic: write32 [ff842010] = 1e
00:00:00.87 interruptgic: read32 [ff84200c] = 1e
00:00:00.88 interruptgic: write32 [ff842010] = 1e
00:00:00.88 interruptgic: read32 [ff84200c] = 1e
00:00:00.89 interruptgic: write32 [ff842010] = 1e
00:00:00.89 interruptgic: read32 [ff84200c] = 1e
00:00:00.90 interruptgic: write32 [ff842010] = 1e
00:00:00.90 interruptgic: read32 [ff84200c] = 1e
00:00:00.91 interruptgic: write32 [ff842010] = 1e
00:00:00.91 interruptgic: read32 [ff84200c] = 1e
00:00:00.92 interruptgic: write32 [ff842010] = 1e
00:00:00.92 interruptgic: read32 [ff84200c] = 1e
00:00:00.93 interruptgic: write32 [ff842010] = 1e
00:00:00.93 interruptgic: read32 [ff84200c] = 1e
00:00:00.94 interruptgic: write32 [ff842010] = 1e
00:00:00.94 interruptgic: read32 [ff84200c] = 1e
00:00:00.95 interruptgic: write32 [ff842010] = 1e
00:00:00.95 interruptgic: read32 [ff84200c] = 1e
00:00:00.96 interruptgic: write32 [ff842010] = 1e
00:00:00.96 interruptgic: read32 [ff84200c] = 1e
00:00:00.97 interruptgic: write32 [ff842010] = 1e
00:00:00.97 interruptgic: read32 [ff84200c] = 1e
00:00:00.98 interruptgic: write32 [ff842010] = 1e
00:00:00.98 interruptgic: read32 [ff84200c] = 1e
00:00:00.99 interruptgic: write32 [ff842010] = 1e
00:00:00.99 interruptgic: read32 [ff84200c] = 1e
00:00:01.00 interruptgic: write32 [ff842010] = 1e
00:00:01.00 interruptgic: read32 [ff84200c] = 1e
00:00:01.01 interruptgic: write32 [ff842010] = 1e
00:00:01.01 interruptgic: read32 [ff84200c] = 1e
00:00:01.02 interruptgic: write32 [ff842010] = 1e
00:00:01.02 interruptgic: read32 [ff84200c] = 1e
00:00:01.03 interruptgic: write32 [ff842010] = 1e
00:00:01.03 interruptgic: read32 [ff84200c] = 1e
00:00:01.04 interruptgic: write32 [ff842010] = 1e
00:00:01.04 interruptgic: read32 [ff84200c] = 1e
00:00:01.05 interruptgic: write32 [ff842010] = 1e
00:00:01.05 interruptgic: read32 [ff84200c] = 1e
00:00:01.06 interruptgic: write32 [ff842010] = 1e
00:00:01.06 interruptgic: read32 [ff84200c] = 1e
00:00:01.07 interruptgic: write32 [ff842010] = 1e
00:00:01.07 interruptgic: read32 [ff84200c] = 1e
00:00:01.08 interruptgic: write32 [ff842010] = 1e
00:00:01.08 interruptgic: read32 [ff84200c] = 1e
00:00:01.09 interruptgic: write32 [ff842010] = 1e
00:00:01.09 interruptgic: read32 [ff84200c] = 1e
00:00:01.10 interruptgic: write32 [ff842010] = 1e
00:00:01.10 interruptgic: read32 [ff84200c] = 1e
00:00:01.11 interruptgic: write32 [ff842010] = 1e
00:00:01.11 interruptgic: read32 [ff84200c] = 1e
00:00:01.12 interruptgic: write32 [ff842010] = 1e
00:00:01.12 interruptgic: read32 [ff84200c] = 1e
00:00:01.13 interruptgic: write32 [ff842010] = 1e
00:00:01.13 interruptgic: read32 [ff84200c] = 1e
00:00:01.14 interruptgic: write32 [ff842010] = 1e
00:00:01.14 interruptgic: read32 [ff84200c] = 1e
00:00:01.15 interruptgic: write32 [ff842010] = 1e
00:00:01.15 interruptgic: read32 [ff84200c] = 1e
00:00:01.16 interruptgic: write32 [ff842010] = 1e
00:00:01.16 interruptgic: read32 [ff84200c] = 1e
